,Productos,Cantidad
0,sweater,2702
1,tshirt,2517
2,top,2396
3,pant,2261
4,jacket,2132
5,shirt,2018
6,jeans,1951
7,skirt,1638
8,dress,1536
9,cardigan,1444
10,parka,1012
11,short,729
12,jumpsuit,476
13,sweatshirt,303
14,coat,300
15,scarf,248
16,bag,168
17,trench,104
