,unicos_pie,conteo_pie
0,L,19.34405682055567
1,M,19.018174221850845
2,S,18.759139335700855
3,XL,15.241278462502612
4,XS,11.439314810946314
5,XXL,8.234802590348862
6,XXXL,3.7142260288280764
7,UNQ,2.3605598495926468
8,X4XL,1.8383120952579903
9,XXS,0.05013578441612701
