,size_lookiero,envios
0,L,0.17680635997717944
1,M,0.24386814277168042
2,S,0.2179489385757912
3,UNQ,0.1246599739159468
4,X4XL,0.014722060249455
5,XL,0.09247432461297503
6,XS,0.05482766548305979
7,XXL,0.05037645131065873
8,XXS,0.0003208934488583706
9,XXXL,0.023995189654395208
