family_product,envios,ventas
bag,689250.0,225585.0
cardigan,1547325.0,667366.0
coat,197338.0,69778.0
dress,1548203.0,543687.0
jacket,3086428.0,1249806.0
jeans,3399027.0,1510481.0
jumpsuit,487502.0,190260.0
pant,2941909.0,1178764.0
parka,553956.0,208795.0
scarf,1032397.0,422815.0
shirt,2191488.0,913182.0
short,631895.0,273393.0
skirt,1961662.0,738923.0
sweater,2324254.0,997807.0
sweatshirt,212624.0,77022.0
top,2637291.0,1166235.0
trench,109880.0,34714.0
tshirt,1933330.0,797982.0
